ID;Área;Concepto;Descripción;Autor_referente;Año_aprox;Aplicación;Ejemplo_práctico
1;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1950;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
2;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1951;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
3;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1952;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
4;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1953;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
5;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1954;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
6;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1955;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
7;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1956;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
8;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1957;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
9;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1958;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
10;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1959;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
11;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1960;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
12;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1961;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
13;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1962;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
14;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1963;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
15;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1964;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
16;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1965;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
17;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1966;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
18;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1967;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
19;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1968;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
20;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1969;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
21;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1970;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
22;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1971;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
23;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1972;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
24;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1973;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
25;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1974;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
26;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1975;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
27;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1976;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
28;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1977;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
29;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1978;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
30;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1979;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
31;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1980;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
32;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1981;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
33;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1982;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
34;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1983;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
35;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1984;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
36;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1985;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
37;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1986;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
38;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1987;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
39;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1988;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
40;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1989;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
41;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1990;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
42;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1991;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
43;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1992;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
44;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1993;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
45;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1994;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
46;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1995;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
47;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1996;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
48;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1997;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
49;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1998;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
50;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1999;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
51;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;2000;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
52;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;2001;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
53;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;2002;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
54;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;2003;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
55;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;2004;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
56;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;2005;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
57;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;2006;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
58;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;2007;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
59;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;2008;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
60;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;2009;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
61;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;2010;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
62;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;2011;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
63;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;2012;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
64;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;2013;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
65;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;2014;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
66;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;2015;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
67;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;2016;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
68;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;2017;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
69;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;2018;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
70;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;2019;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
71;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1950;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
72;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1951;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
73;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1952;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
74;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1953;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
75;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1954;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
76;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1955;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
77;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1956;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
78;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1957;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
79;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1958;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
80;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1959;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
81;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1960;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
82;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1961;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
83;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1962;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
84;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1963;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
85;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1964;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
86;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1965;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
87;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1966;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
88;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1967;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
89;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1968;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
90;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1969;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
91;Cognitiva;Memoria de trabajo;Descripción del concepto 'Memoria de trabajo' en psicología cognitiva;Baddeley;1970;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Memoria de trabajo
92;Conductual;Condicionamiento clásico;Descripción del concepto 'Condicionamiento clásico' en psicología conductual;Pavlov;1971;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento clásico
93;Cognitiva;Condicionamiento operante;Descripción del concepto 'Condicionamiento operante' en psicología cognitiva;Skinner;1972;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Condicionamiento operante
94;Conductual;Atención selectiva;Descripción del concepto 'Atención selectiva' en psicología conductual;Broadbent;1973;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Atención selectiva
95;Cognitiva;Refuerzo positivo;Descripción del concepto 'Refuerzo positivo' en psicología cognitiva;Skinner;1974;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo positivo
96;Conductual;Refuerzo negativo;Descripción del concepto 'Refuerzo negativo' en psicología conductual;Skinner;1975;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Refuerzo negativo
97;Cognitiva;Castigo;Descripción del concepto 'Castigo' en psicología cognitiva;Thorndike;1976;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Castigo
98;Conductual;Aprendizaje observacional;Descripción del concepto 'Aprendizaje observacional' en psicología conductual;Bandura;1977;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Aprendizaje observacional
99;Cognitiva;Sesgos cognitivos;Descripción del concepto 'Sesgos cognitivos' en psicología cognitiva;Tversky & Kahneman;1978;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Sesgos cognitivos
100;Conductual;Procesamiento de la información;Descripción del concepto 'Procesamiento de la información' en psicología conductual;Neisser;1979;Aplicación en contexto educativo o clínico;Ejemplo práctico del concepto Procesamiento de la información
